Book_ID,Book_ Title,Borrower_ID,Date of Issue,Date of Return,Reservation_information,checkout month,Number of checkouts,Rating for books(1-5)
1,Classical Mythology,AM329,13/10/2021,2/11/2021,Y,1,40,5
2,Clara Callan,AS443,11/2/2021,13/3/2021,N,3,39,3
3,Decision in Normandy,BH149,12/5/2021,1/6/2021,N,11,34,3
4,The Mummies of Urumchi,BM856,25/11/2021,15/12/2021,N,5,33,2
5,The Kitchen God's Wife,BM856,17/12/2021,6/1/2022,N,6,31,4
6,PLEADING GUILTY,BT132,10/7/2021,24/8/2021,N,7,30,4
7,Where You'll Find Me: And Other Stories,CF829,3/3/2021,23/3/2021,N,2,29,4
8,Nights Below Station Street,CF829,2/10/2021,22/10/2021,N,8,29,3
9,The Middle Stories,CS190,30/11/2021,30/12/2021,N,8,64,4
10,Jane Doe,CW626,4/11/2021,24/11/2021,Y,9,61,3
